
2025/07/19 (19:01:11) | ===> btop++ v.1.4.0
2025/07/19 (19:01:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/19 (19:02:55) | WARNING: Failed to join _runner thread on exit!

2025/07/19 (19:10:16) | ===> btop++ v.1.4.0
2025/07/19 (19:10:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/19 (19:37:53) | ===> btop++ v.1.4.0
2025/07/19 (19:37:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/19 (21:58:54) | ===> btop++ v.1.4.0
2025/07/19 (21:58:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/20 (19:38:11) | ===> btop++ v.1.4.0
2025/07/20 (19:38:11) | WARNING: Intel GPU: Failed to initialize PMU
